[2020-12-25T20:45:58.658Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=847)
[2020-12-25T20:46:04.866Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=859)
[2020-12-25T20:46:27.534Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=871)
[2020-12-25T20:46:32.287Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=883)
[2020-12-25T20:47:15.860Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=895)
[2020-12-25T20:47:20.857Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=907)
[2020-12-25T20:47:31.899Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=919)
[2020-12-25T20:48:14.454Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=931)
[2020-12-25T20:48:37.699Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=950)
[2020-12-25T20:49:07.319Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=969)
[2020-12-25T20:49:21.952Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=981)
[2020-12-25T20:49:32.457Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=993)
[2020-12-25T20:49:43.506Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1017)
[2020-12-25T20:49:49.180Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1029)
[2020-12-25T20:49:53.620Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1041)
[2020-12-25T20:50:09.623Z] INFO user with the id: 9255d0e7-9eb7-4a5b-9895-1407f9f11b6e logged in (host=cc76d8ff70ba, name=network_logger, pid=1041)
[2020-12-25T20:53:16.337Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1053)
[2020-12-25T20:53:19.548Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1065)
[2020-12-25T20:53:28.814Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1077)
[2020-12-25T20:54:12.900Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1089)
[2020-12-25T20:58:13.394Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1101)
[2020-12-25T20:58:22.479Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1113)
[2020-12-25T20:58:27.754Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1125)
[2020-12-25T20:59:19.968Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1144)
[2020-12-25T20:59:24.812Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1156)
[2020-12-25T20:59:29.419Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1168)
[2020-12-25T20:59:33.575Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1180)
[2020-12-25T21:00:13.441Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1192)
[2020-12-25T21:00:51.980Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1204)
[2020-12-25T21:00:55.326Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1216)
[2020-12-25T21:01:11.407Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1228)
[2020-12-25T21:01:14.889Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1240)
[2020-12-25T21:02:07.188Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1252)
[2020-12-25T21:02:16.105Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1264)
[2020-12-25T21:02:22.600Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1276)
[2020-12-25T21:02:28.517Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1288)
[2020-12-25T21:02:32.258Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1300)
[2020-12-25T21:02:40.887Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1312)
[2020-12-25T21:02:58.083Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1324)
[2020-12-25T21:03:01.876Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1336)
[2020-12-25T21:03:04.092Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1348)
[2020-12-25T21:03:10.301Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1360)
[2020-12-25T21:03:24.381Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1372)
[2020-12-25T21:03:26.888Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1384)
[2020-12-25T21:03:47.694Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1396)
[2020-12-25T21:03:50.271Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1408)
[2020-12-25T21:04:02.221Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1432)
[2020-12-25T21:04:15.547Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1444)
[2020-12-25T21:07:01.054Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1456)
[2020-12-25T21:45:38.685Z] INFO user with the id: 9255d0e7-9eb7-4a5b-9895-1407f9f11b6e logged in (host=cc76d8ff70ba, name=network_logger, pid=1456)
[2020-12-25T21:55:14.286Z] INFO user with the id: 9255d0e7-9eb7-4a5b-9895-1407f9f11b6e logged in (host=cc76d8ff70ba, name=network_logger, pid=1456)
[2020-12-25T22:19:15.108Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1468)
[2020-12-25T22:27:43.664Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1487)
[2020-12-25T22:28:01.594Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1499)
[2020-12-25T22:28:08.430Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1511)
[2020-12-25T22:28:31.517Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1523)
[2020-12-25T22:29:03.895Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1535)
[2020-12-25T22:29:27.818Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1547)
[2020-12-25T22:30:07.316Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1559)
[2020-12-25T22:30:45.065Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1571)
[2020-12-25T22:31:03.878Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1583)
[2020-12-25T22:32:38.701Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1602)
[2020-12-25T22:33:00.403Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1614)
[2020-12-25T22:33:18.391Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1626)
[2020-12-25T22:35:44.399Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1638)
[2020-12-25T22:35:47.080Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1650)
[2020-12-25T22:37:53.448Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=1662)
[2020-12-25T22:45:21.096Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=42)
[2020-12-25T22:45:32.132Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=27)
[2020-12-25T22:47:22.185Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=43)
[2020-12-25T22:47:28.339Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=55)
[2020-12-25T22:48:16.161Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=67)
[2020-12-25T22:48:19.962Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=79)
[2020-12-25T22:48:52.179Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=91)
[2020-12-25T22:48:56.776Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=103)
[2020-12-25T22:49:42.897Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=115)
[2020-12-25T22:52:09.420Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=163)
[2020-12-25T22:57:16.515Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=175)
[2020-12-25T22:58:29.192Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=187)
[2020-12-25T22:58:47.243Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=199)
[2020-12-25T23:00:44.105Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=211)
[2020-12-25T23:03:41.493Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=223)
[2020-12-25T23:04:23.768Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=235)
[2020-12-25T23:06:09.757Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=26)
[2020-12-25T23:06:33.332Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=42)
[2020-12-25T23:06:35.468Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=54)
[2020-12-25T23:07:46.710Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=66)
[2020-12-25T23:08:12.758Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=78)
[2020-12-25T23:08:33.213Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=90)
[2020-12-25T23:08:39.512Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=102)
[2020-12-25T23:09:18.786Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=114)
[2020-12-25T23:09:34.822Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=126)
[2020-12-25T23:09:52.704Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=138)
[2020-12-25T23:18:43.251Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=157)
[2020-12-25T23:18:47.960Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=169)
[2020-12-25T23:18:55.394Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=181)
[2020-12-25T23:19:26.608Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=193)
[2020-12-25T23:19:59.676Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=205)
[2020-12-25T23:21:40.005Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=217)
[2020-12-25T23:21:50.943Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=229)
[2020-12-25T23:22:37.579Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=241)
[2020-12-25T23:22:44.471Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=253)
[2020-12-25T23:23:06.888Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=265)
[2020-12-25T23:23:41.889Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=277)
[2020-12-25T23:23:48.525Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=289)
[2020-12-25T23:24:36.685Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=301)
[2020-12-25T23:24:56.932Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=313)
[2020-12-25T23:25:19.792Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=325)
[2020-12-25T23:25:47.868Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=337)
[2020-12-25T23:25:57.201Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=349)
[2020-12-25T23:29:05.393Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=361)
[2020-12-25T23:32:17.908Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=373)
[2020-12-25T23:32:34.332Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=385)
[2020-12-25T23:53:45.475Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=102)
[2020-12-25T23:53:49.004Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=114)
[2020-12-25T23:53:52.865Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=126)
[2020-12-25T23:54:09.642Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=138)
[2020-12-25T23:54:17.940Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=150)
[2020-12-25T23:54:36.941Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=162)
[2020-12-25T23:54:39.456Z] INFO File uploaded successfully. (host=cc76d8ff70ba, name=network_logger, pid=162)
[2020-12-25T23:55:12.683Z] INFO 🚀  http://localhost:3000/graphql (host=cc76d8ff70ba, name=network_logger, pid=174)
